ghidra_name,real_addr,proposed_name,subsystem,confidence,basis,purpose,notes,project_addr
FUN_08000630,0x08003230,lib_printf_hex,libc,Medium,"Owns the digit table ""0123456789ABCDEF@0X""",Hexadecimal conversion inside the printf family.,Compiler runtime.,0x08000630
FUN_08000808,0x08003408,lib_sprintf,libc,High,"Decompile: builds a FILE-like descriptor on the stack and hands it plus the varargs to the formatter core, then flushes",sprintf into a caller-supplied buffer.,41 callers - the main text formatter for the UI.,0x08000808
FUN_80000bc0,0x080037C0,lib_memset,libc,High,"Existing entry, consistent with 18 call sites and a word-optimised fill",Standard memset.,Retained.,0x08000BC0
FUN_08000dc8,0x080039C8,lib_memcmp,libc,High,Decompile: word-at-a-time compare with an alignment fast path and byte-swapped ordering for the mismatch result,Standard memcmp.,10 callers. Used by BT_CheckModuleName to match the module identity string.,0x08000DC8
FUN_08000e68,0x08003A68,lib_strlen,libc,High,"Decompile: word-at-a-time scan using the classic zero-byte test (x + 0xFEFEFEFF) & ~x & 0x80808080, with an alignment preamble and a trailing-byte fixup",Standard strlen.,20 callers.,0x08000E68
FUN_08000ea6,0x08003AA6,lib_memcpy,libc,High,"Decompile: fixes up source/destination alignment byte-wise, then runs the word loop; 47 callers, the most-called unnamed function in the image",Standard memcpy.,Delegates the aligned bulk case to lib_memcpy_aligned (0x08000F30).,0x08000EA6
FUN_08000f30,0x08003B30,lib_memcpy_aligned,libc,Medium-High,Decompile: 32-byte unrolled block copy with a tail loop,Aligned bulk copy loop.,Reached from lib_memcpy (0x08000EA6) once alignment has been fixed up; 16 direct callers of its own.,0x08000F30
FUN_80000f94,0x08003B94,lib_bzero,libc,High,Existing entry,Zero fill.,Retained.,0x08000F94
FUN_80000fd8,0x08003BD8,lib_memclr_struct,libc,Medium,"36 callers, 2 args, returns a pointer; used as clear(struct, size) e.g. FUN_8001b3bc clears a 0x54-byte block",Clears a sized block.,Distinct from FUN_80000f94; exact semantics not pinned down.,0x08000FD8
FUN_0800107c,0x08003C7C,lib_get_errno_ptr,libc,Medium-High,Four-byte leaf returning a pointer to SRAM 0x20012B50; lib_set_errno stores through it,Returns the address of errno.,The newlib __errno accessor.,0x0800107C
